 time  epsilon_1  epsilon_2  epsilon_3  epsilon_4  epsilon_5  epsilon_6  
0.000000e+00   0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
1.000000e+00   -8.030911e-17  -4.581945e-18  5.903190e-17  4.377014e-34  -3.628769e-33  4.541782e-33
2.000000e+00   -1.319514e-14  -5.165151e-15  1.836084e-14  -1.382212e-30  -3.237175e-29  2.259275e-29
3.000000e+00   -3.285818e-13  -1.295837e-13  4.581681e-13  -6.383275e-28  -1.491843e-26  1.041217e-26
4.000000e+00   -3.926258e-12  -1.548737e-12  5.474998e-12  -7.298480e-26  -1.702461e-24  1.188117e-24
5.000000e+00   -2.964515e-11  -1.169270e-11  4.133786e-11  -3.474824e-24  -8.083680e-23  5.640608e-23
6.000000e+00   -1.632800e-10  -6.439338e-11  2.276734e-10  -9.048830e-23  -2.100664e-21  1.465648e-21
7.000000e+00   -7.143828e-10  -2.816993e-10  9.960821e-10  -1.517700e-21  -3.516870e-20  2.453565e-20
8.000000e+00   -2.622466e-09  -1.033996e-09  3.656463e-09  -1.822330e-20  -4.211271e-19  2.937267e-19
9.000000e+00   -8.383650e-09  -3.305100e-09  1.168875e-08  -1.681594e-19  -3.872439e-18  2.700350e-18
1.000000e+01   -2.396866e-08  -9.448118e-09  3.341677e-08  -1.252588e-18  -2.876760e-17  2.005661e-17
1.100000e+01   -6.249296e-08  -2.463112e-08  8.712408e-08  -7.826732e-18  -1.792382e-16  1.249316e-16
1.200000e+01   -1.507977e-07  -5.942914e-08  2.102269e-07  -4.220080e-17  -9.632268e-16  6.710958e-16
1.300000e+01   -3.406861e-07  -1.342504e-07  4.749365e-07  -2.007554e-16  -4.564307e-15  3.178848e-15
1.400000e+01   -7.271159e-07  -2.864996e-07  1.013615e-06  -8.579762e-16  -1.939760e-14  1.350222e-14
1.500000e+01   -1.476681e-06  -5.817914e-07  2.058472e-06  -3.333200e-15  -7.495113e-14  5.213157e-14
1.600000e+01   -2.870099e-06  -1.130704e-06  4.000803e-06  -1.194347e-14  -2.662339e-13  1.849169e-13
1.700000e+01   -5.363289e-06  -2.112960e-06  7.476247e-06  -3.983796e-14  -8.766155e-13  6.074098e-13
1.800000e+01   -9.670730e-06  -3.810251e-06  1.348098e-05  -1.245680e-13  -2.692272e-12  1.859268e-12
1.900000e+01   -1.687142e-05  -6.648618e-06  2.352002e-05  -3.689784e-13  -7.748144e-12  5.322467e-12
2.000000e+01   -2.854254e-05  -1.126397e-05  3.980647e-05  -1.033413e-12  -2.093326e-11  1.426868e-11
2.100000e+01   -4.684410e-05  -1.851003e-05  6.535402e-05  -2.775868e-12  -5.319912e-11  3.582407e-11
2.200000e+01   -7.460834e-05  -2.952246e-05  1.041305e-04  -7.151426e-12  -1.270286e-10  8.401774e-11
2.300000e+01   -1.152825e-04  -4.569690e-05  1.609787e-04  -1.764205e-11  -2.844369e-10  1.834312e-10
2.400000e+01   -1.726937e-04  -6.860506e-05  2.412975e-04  -4.146570e-11  -5.958556e-10  3.714732e-10
2.500000e+01   -2.506076e-04  -9.982481e-05  3.504300e-04  -9.210315e-11  -1.165622e-09  6.961372e-10
2.600000e+01   -3.521479e-04  -1.407077e-04  4.928511e-04  -1.917867e-10  -2.128098e-09  1.207121e-09
2.700000e+01   -4.792482e-04  -1.921439e-04  6.713847e-04  -3.722696e-10  -3.630971e-09  1.942527e-09
2.800000e+01   -6.323362e-04  -2.544123e-04  8.867367e-04  -6.724029e-10  -5.809079e-09  2.917693e-09
2.900000e+01   -8.103598e-04  -3.271624e-04  1.137505e-03  -1.132524e-09  -8.758617e-09  4.122242e-09
3.000000e+01   -1.011111e-03  -4.095281e-04  1.420614e-03  -1.787775e-09  -1.252210e-08  5.525844e-09
3.100000e+01   -1.231701e-03  -5.003166e-04  1.731984e-03  -2.662996e-09  -1.708847e-08  7.088236e-09
3.200000e+01   -1.469020e-03  -5.982066e-04  2.067183e-03  -3.770798e-09  -2.240507e-08  8.768359e-09
3.300000e+01   -1.720079e-03  -7.019018e-04  2.421927e-03  -5.112415e-09  -2.839452e-08  1.053010e-08
3.400000e+01   -1.982223e-03  -8.102299e-04  2.792386e-03  -6.680321e-09  -3.497012e-08  1.234465e-08
3.500000e+01   -2.253207e-03  -9.221878e-04  3.175316e-03  -8.461249e-09  -4.204707e-08  1.419056e-08
3.600000e+01   -2.531207e-03  -1.036950e-03  3.568065e-03  -1.043889e-08  -4.954883e-08  1.605270e-08
3.700000e+01   -2.814778e-03  -1.153857e-03  3.968528e-03  -1.259597e-08  -5.740991e-08  1.792091e-08
3.800000e+01   -3.102795e-03  -1.272389e-03  4.375063e-03  -1.491552e-08  -6.557615e-08  1.978878e-08
3.900000e+01   -3.394428e-03  -1.392186e-03  4.786479e-03  -1.738322e-08  -7.400514e-08  2.164992e-08
4.000000e+01   -3.689175e-03  -1.513145e-03  5.202170e-03  -1.997582e-08  -8.265325e-08  2.351041e-08
4.100000e+01   -3.986311e-03  -1.635020e-03  5.621167e-03  -2.269130e-08  -9.149127e-08  2.535952e-08
4.200000e+01   -4.285351e-03  -1.757339e-03  6.042511e-03  -2.551120e-08  -1.004928e-07  2.719900e-08
4.300000e+01   -4.586050e-03  -1.879985e-03  6.465840e-03  -2.842636e-08  -1.096428e-07  2.903052e-08
4.400000e+01   -4.888222e-03  -2.002867e-03  6.890878e-03  -3.142875e-08  -1.189291e-07  3.085582e-08
4.500000e+01   -5.191719e-03  -2.125916e-03  7.317409e-03  -3.451127e-08  -1.283419e-07  3.267659e-08
4.600000e+01   -5.496427e-03  -2.249079e-03  7.745265e-03  -3.766770e-08  -1.378732e-07  3.449450e-08
4.700000e+01   -5.802254e-03  -2.372315e-03  8.174313e-03  -4.089241e-08  -1.475162e-07  3.631107e-08
4.800000e+01   -6.109128e-03  -2.495592e-03  8.604448e-03  -4.418055e-08  -1.572654e-07  3.812780e-08
4.900000e+01   -6.416991e-03  -2.618887e-03  9.035590e-03  -4.752777e-08  -1.671161e-07  3.994612e-08
5.000000e+01   -6.725796e-03  -2.742181e-03  9.467673e-03  -5.093023e-08  -1.770643e-07  4.176736e-08
5.100000e+01   -7.035505e-03  -2.865459e-03  9.900644e-03  -5.438444e-08  -1.871064e-07  4.359281e-08
5.200000e+01   -7.346084e-03  -2.988710e-03  1.033446e-02  -5.788718e-08  -1.972394e-07  4.542367e-08
5.300000e+01   -7.657505e-03  -3.111925e-03  1.076908e-02  -6.143554e-08  -2.074602e-07  4.726109e-08
5.400000e+01   -7.969743e-03  -3.235098e-03  1.120447e-02  -6.502696e-08  -2.177666e-07  4.910596e-08
5.500000e+01   -8.282778e-03  -3.358224e-03  1.164062e-02  -6.865909e-08  -2.281562e-07  5.095923e-08
5.600000e+01   -8.596589e-03  -3.481299e-03  1.207749e-02  -7.232967e-08  -2.386268e-07  5.282172e-08
5.700000e+01   -8.911160e-03  -3.604322e-03  1.251506e-02  -7.603656e-08  -2.491767e-07  5.469429e-08
5.800000e+01   -9.226475e-03  -3.727290e-03  1.295333e-02  -7.977798e-08  -2.598043e-07  5.657772e-08
5.900000e+01   -9.542554e-03  -3.850280e-03  1.339238e-02  -8.355600e-08  -2.705111e-07  5.846190e-08
6.000000e+01   -9.859517e-03  -3.973435e-03  1.383249e-02  -8.735366e-08  -2.812760e-07  6.037554e-08
6.100000e+01   -1.017708e-02  -4.096503e-03  1.427310e-02  -9.117773e-08  -2.921032e-07  6.229979e-08
6.200000e+01   -1.049527e-02  -4.219491e-03  1.471426e-02  -9.502745e-08  -3.029934e-07  6.423575e-08
6.300000e+01   -1.081409e-02  -4.342405e-03  1.515598e-02  -9.890214e-08  -3.139470e-07  6.618442e-08
6.400000e+01   -1.113354e-02  -4.465251e-03  1.559826e-02  -1.028011e-07  -3.249643e-07  6.814659e-08
6.500000e+01   -1.145362e-02  -4.588034e-03  1.604110e-02  -1.067235e-07  -3.360452e-07  7.012298e-08
6.600000e+01   -1.177433e-02  -4.710756e-03  1.648452e-02  -1.106681e-07  -3.471887e-07  7.211426e-08
6.700000e+01   -1.209566e-02  -4.833420e-03  1.692850e-02  -1.146339e-07  -3.583939e-07  7.412107e-08
6.800000e+01   -1.241761e-02  -4.956028e-03  1.737303e-02  -1.186198e-07  -3.696599e-07  7.614387e-08
