 time  sigma_1  sigma_2  sigma_3  sigma_4  sigma_5  sigma_6  Pressure  Mises  sigma_norm
0.000000e+00   0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  -0.000000e+00  0.000000e+00  0.000000e+00
4.998750e-04   -3.312278e+01  -8.352209e+01  2.909619e+07  -4.855950e+05  -3.680659e+05  2.586986e+05  -9.698691e+06  2.911883e+07  2.911125e+07
9.995003e-04   -1.401145e+02  -3.533902e+02  5.817637e+07  -9.708240e+05  -7.361267e+05  5.175519e+05  -1.939196e+07  5.822178e+07  5.820649e+07
1.498876e-03   -3.208268e+02  -8.093211e+02  8.724286e+07  -1.455898e+06  -1.104047e+06  7.762935e+05  -2.908058e+07  8.731116e+07  8.728802e+07
1.998003e-03   -5.750912e+02  -1.450974e+03  1.162956e+08  -1.940819e+06  -1.471826e+06  1.034923e+06  -3.876454e+07  1.163870e+08  1.163559e+08
2.496880e-03   -9.027398e+02  -2.278010e+03  1.453348e+08  -2.425584e+06  -1.839465e+06  1.293442e+06  -4.844386e+07  1.454492e+08  1.454100e+08
2.995509e-03   -1.303605e+03  -3.290090e+03  1.743602e+08  -2.910195e+06  -2.206964e+06  1.551848e+06  -5.811854e+07  1.744979e+08  1.744505e+08
3.493889e-03   -1.777519e+03  -4.486874e+03  2.033720e+08  -3.394652e+06  -2.574322e+06  1.810143e+06  -6.778858e+07  2.035331e+08  2.034773e+08
3.992021e-03   -2.324313e+03  -5.868022e+03  2.323701e+08  -3.878954e+06  -2.941540e+06  2.068327e+06  -7.745398e+07  2.325547e+08  2.324905e+08
4.489905e-03   -2.943818e+03  -7.433185e+03  2.613545e+08  -4.363100e+06  -3.308616e+06  2.326397e+06  -8.711471e+07  2.615627e+08  2.614899e+08
4.987542e-03   -3.635852e+03  -9.181994e+03  2.903249e+08  -4.847086e+06  -3.675548e+06  2.584352e+06  -9.677071e+07  2.905570e+08  2.904754e+08
5.484930e-03   -4.400215e+03  -1.111402e+04  3.192810e+08  -5.330905e+06  -4.042332e+06  2.842186e+06  -1.064218e+08  3.195369e+08  3.194464e+08
